Date,Close_A,Open_A,High_A,Low_A,Volumes_A,Change_A,Price_S,Change_S,Price_T,Change_T
06/17/2001,0.4,0.36,0.41,0.36,1730000000,0.0261,1225.35,0.0091,372.20,-0.0014
06/24/2001,0.42,0.4,0.45,0.4,2000000000,0.0213,1224.38,-0.0008,396.70,0.0657
07/01/2001,0.39,0.42,0.43,0.39,797960000,0.0584,1190.59,-0.0276,364.50,-0.0812
07/08/2001,0.44,0.39,0.45,0.37,2270000000,-0.0193,1215.68,0.0211,387.80,0.0639
07/15/2001,0.36,0.44,0.45,0.35,3370000000,0.0768,1210.85,-0.0040,371.80,-0.0413
07/22/2001,0.34,0.36,0.37,0.32,1740000000,-0.0406,1205.82,-0.0042,373.00,0.0034
07/29/2001,0.35,0.34,0.36,0.33,1220000000,-0.0567,1214.35,0.0071,386.40,0.0358
08/05/2001,0.34,0.34,0.35,0.33,932010000,-0.0285,1190.16,-0.0199,362.80,-0.0611
08/12/2001,0.32,0.34,0.35,0.32,1160000000,0.0876,1161.97,-0.0237,341.70,-0.0581
08/19/2001,0.33,0.32,0.33,0.31,1120000000,-0.0647,1184.93,0.0198,354.90,0.0387
08/26/2001,0.33,0.33,0.34,0.31,1170000000,-0.0647,1133.58,-0.0433,326.00,-0.0816
09/02/2001,0.31,0.33,0.34,0.31,1230000000,-0.0023,1085.78,-0.0422,298.80,-0.0834
09/09/2001,0.31,0.3,0.31,0.3,308850000,-0.0256,1092.54,0.0062,302.40,0.0122
09/16/2001,0.28,0.29,0.32,0.26,2140000000,-0.0212,965.80,-0.1160,252.60,-0.1649
09/23/2001,0.28,0.29,0.3,0.27,1850000000,-0.0282,1040.94,0.0778,261.90,0.0368
09/30/2001,0.29,0.28,0.29,0.26,1890000000,-0.0242,1071.38,0.0292,289.30,0.1048
10/07/2001,0.32,0.28,0.32,0.28,1310000000,-0.0023,1091.65,0.0189,311.20,0.0758
10/14/2001,0.33,0.32,0.33,0.3,1590000000,0.0655,1073.48,-0.0166,304.10,-0.0229
10/21/2001,0.33,0.33,0.35,0.32,1990000000,0.0598,1104.61,0.0290,325.40,0.0701
